nta_code,year_month,temp_max_mean,temp_min_mean,precip_total,wind_max_mean
BX1091,2022-12,6.248387096774193,-1.6548387096774195,110.7,21.861290322580647
BX1091,2023-01,8.625806451612902,0.6774193548387096,107.5,20.903225806451612
BX1091,2023-02,8.025,-1.4071428571428573,45.900000000000006,24.582142857142856
BX1091,2023-03,9.861290322580645,0.6161290322580645,138.5,24.79032258064516
BX1091,2023-04,17.743333333333332,7.466666666666667,140.8,22.259999999999998
BX1091,2023-05,21.22258064516129,9.87741935483871,33.9,20.238709677419354
BX1091,2023-06,25.516666666666666,15.22,91.5,21.233333333333334
BX1091,2023-07,29.467741935483872,20.106451612903225,147.2,18.62258064516129
BX1091,2023-08,27.44193548387097,18.458064516129035,147.29999999999998,19.325806451612905
BX1091,2023-09,24.53666666666667,15.896666666666667,266.0,18.59
BX1091,2023-10,19.358064516129033,10.148387096774192,128.9,18.003225806451614
BX1091,2023-11,11.066666666666666,1.6166666666666667,55.7,19.9
BX1091,2023-12,9.167741935483871,1.167741935483871,204.9,18.46451612903226
BX1091,2024-01,4.990322580645161,-2.361290322580645,166.7,23.151612903225807
BX1091,2024-02,6.841379310344828,-2.317241379310345,56.7,20.117241379310343
BX1091,2024-03,11.751612903225807,2.193548387096774,224.5,24.783870967741933
BX1091,2024-04,15.746666666666666,5.5600000000000005,105.0,24.483333333333334
BX1091,2024-05,22.490322580645163,12.229032258064517,111.8,19.919354838709676
BX1091,2024-06,28.796666666666667,17.75,80.0,23.1
BX1091,2024-07,30.43548387096774,20.751612903225805,134.8,19.93548387096774
BX1091,2024-08,28.306451612903224,18.716129032258067,181.6,19.24516129032258
BX1091,2024-09,24.733333333333334,14.776666666666667,23.4,17.35666666666667
BX1091,2024-10,20.835483870967742,8.887096774193548,10.4,18.519354838709678
BX1091,2024-11,14.473333333333333,5.673333333333333,93.89999999999999,18.996666666666666
BX1091,2024-12,5.387096774193548,-1.3129032258064517,96.3,15.14516129032258
BX1091,2025-01,1.2999999999999998,-5.087096774193548,30.6,18.387096774193548
BX1091,2025-02,3.9071428571428575,-3.1464285714285714,76.8,17.267857142857142
BX1091,2025-03,12.041935483870969,2.103225806451613,131.5,18.538709677419355
BX1091,2025-04,16.773333333333333,7.25,73.5,18.323333333333334
BX1091,2025-05,20.68064516129032,12.612903225806452,180.6,15.419354838709678
