nta_code,tree_count,total_dbh,mean_dbh,pct_good_health
BX0801,1341,16125,12.024608501118568,0.8366890380313199
BX0802,1256,12609,10.039012738853502,0.7627388535031847
BX0803,2692,32646,12.12704309063893,0.825780089153046
BX0901,3185,32345,10.15541601255887,0.8562009419152277
BX0902,2265,24260,10.710816777041943,0.8538631346578367
BX0903,3067,26946,8.785784153896316,0.86957939354418
BX0904,773,8326,10.771021992238033,0.8706338939197931
BX1001,1697,12702,7.484973482616382,0.859752504419564
BX1002,4679,58030,12.402222697157512,0.8929258388544561
BX1003,3047,37426,12.282901214309156,0.8700361010830325
BX1004,1430,15308,10.704895104895105,0.8643356643356643
BX1101,1568,15120,9.642857142857142,0.8335459183673469
BX1102,2980,36670,12.305369127516778,0.9016778523489933
BX1103,3420,47933,14.015497076023392,0.8233918128654971
BX1104,1461,18846,12.899383983572895,0.8186173853524983
BX1201,2768,28311,10.227962427745664,0.8641618497109826
BX1202,3657,42915,11.735028712059064,0.8504238446814328
BX1203,3602,47993,13.32398667406996,0.8603553581343698
MN0101,1344,9680,7.2023809523809526,0.8087797619047619
MN0102,924,6365,6.888528138528138,0.7034632034632035
MN0201,1181,8723,7.386113463166808,0.7298899237933955
MN0202,1172,11202,9.558020477815699,0.659556313993174
MN0203,2503,23220,9.276867758689573,0.762285257690771
MN0301,914,7051,7.714442013129103,0.7549234135667396
MN0302,1372,12279,8.949708454810496,0.7682215743440233
MN0303,2423,20458,8.443252166735451,0.7651671481634338
MN0401,2432,18968,7.7993421052631575,0.9078947368421053
MN0402,1887,15332,8.125066242713302,0.7217806041335453
MN0501,702,4555,6.488603988603988,0.8034188034188035
MN0502,1033,6438,6.232333010648596,0.601161665053243
MN0601,428,4466,10.434579439252337,0.9205607476635514
MN0602,1087,9714,8.936522539098435,0.8022079116835327
MN0603,1843,15676,8.505697232772654,0.6814975583288118
MN0604,1772,14343,8.094243792325056,0.7528216704288939
MN0701,2022,16475,8.147873392680514,0.7710187932739861
MN0702,4297,43923,10.2217826390505,0.8315103560623691
MN0703,2113,20430,9.66871746332229,0.8135352579271179
MN0801,2215,19728,8.906546275395034,0.6455981941309256
MN0802,4080,38203,9.363480392156863,0.7556372549019608
MN0803,2133,20737,9.721987810595406,0.7144866385372715
MN0901,1698,18445,10.862779740871614,0.7550058892815077
MN0902,862,6454,7.487238979118329,0.7784222737819025
MN0903,2299,21748,9.459765115267508,0.7877337973031753
MN1001,2485,20852,8.391146881287726,0.7352112676056338
MN1002,3043,25863,8.49917844232665,0.8205718041406507
MN1101,1750,14160,8.09142857142857,0.6977142857142857
MN1102,2715,22542,8.302762430939227,0.7620626151012891
MN1201,2497,19153,7.670404485382459,0.7104525430516619
MN1202,2608,21004,8.053680981595091,0.6886503067484663
MN1203,1350,9332,6.912592592592593,0.6659259259259259
