nta_code,NTAName,borough,year_month,date,borough_count,n_ntas,estimated_count
BK0103,South Williamsburg,Brooklyn,2022-09,2022-09-01,1827.0,53,39.811092311771446
BK0103,South Williamsburg,Brooklyn,2022-10,2022-10-01,2066.0,53,45.019002034000984
BK0103,South Williamsburg,Brooklyn,2022-11,2022-11-01,1706.0,53,37.17445182478494
BK0103,South Williamsburg,Brooklyn,2022-12,2022-12-01,1329.0,53,28.959464522355912
BK0103,South Williamsburg,Brooklyn,2023-01,2023-01-01,1378.0,53,30.027194967499206
BK0103,South Williamsburg,Brooklyn,2023-02,2023-02-01,1594.0,53,34.73392509302884
BK0103,South Williamsburg,Brooklyn,2023-03,2023-03-01,1633.0,53,35.58375136569391
BK0103,South Williamsburg,Brooklyn,2023-04,2023-04-01,1914.0,53,41.70685861233199
BK0103,South Williamsburg,Brooklyn,2023-05,2023-05-01,1931.0,53,42.07729570554497
BK0103,South Williamsburg,Brooklyn,2023-06,2023-06-01,1760.0,53,38.35113435616734
BK0103,South Williamsburg,Brooklyn,2023-07,2023-07-01,1442.0,53,31.421781671359838
BK0103,South Williamsburg,Brooklyn,2023-08,2023-08-01,1449.0,53,31.574314592094595
BK0103,South Williamsburg,Brooklyn,2023-09,2023-09-01,1753.0,53,38.19860143543259
BK0103,South Williamsburg,Brooklyn,2023-10,2023-10-01,2030.0,53,44.234547013079386
BK0103,South Williamsburg,Brooklyn,2023-11,2023-11-01,1857.0,53,40.464804829206116
BK0103,South Williamsburg,Brooklyn,2023-12,2023-12-01,1815.0,53,39.549607304797576
BK0103,South Williamsburg,Brooklyn,2024-01,2024-01-01,1689.0,53,36.80401473157196
BK0103,South Williamsburg,Brooklyn,2024-02,2024-02-01,1461.0,53,31.835799599068462
BK0103,South Williamsburg,Brooklyn,2024-03,2024-03-01,1538.0,53,33.51366172715078
BK0103,South Williamsburg,Brooklyn,2024-04,2024-04-01,1636.0,53,35.64912261743737
BK0103,South Williamsburg,Brooklyn,2024-05,2024-05-01,1928.0,53,42.011924453801505
BK0103,South Williamsburg,Brooklyn,2024-06,2024-06-01,1406.0,53,30.637326650438233
BK0103,South Williamsburg,Brooklyn,2024-07,2024-07-01,1334.0,53,29.068416608595022
BK0103,South Williamsburg,Brooklyn,2024-08,2024-08-01,1423.0,53,31.00776374365121
BK0103,South Williamsburg,Brooklyn,2024-09,2024-09-01,1775.0,53,38.677990614884685
BK0103,South Williamsburg,Brooklyn,2024-10,2024-10-01,1834.0,53,39.9636252325062
