nta_code,time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max
BK0101,2022-08-09,37.6,26.5,3.3,19.6
BK0101,2022-08-10,32.6,23.4,0.0,23.8
BK0101,2022-08-11,32.5,23.6,1.2,15.5
BK0101,2022-08-12,29.8,21.5,0.0,23.2
BK0101,2022-08-13,28.1,17.9,0.0,25.0
BK0101,2022-08-14,27.8,18.3,0.0,26.7
BK0101,2022-08-15,28.1,18.6,0.1,17.7
BK0101,2022-08-16,29.0,18.2,0.0,25.6
BK0101,2022-08-17,27.4,18.6,1.3,14.0
BK0101,2022-08-18,31.6,17.8,0.3,22.0
BK0101,2022-08-19,32.2,18.9,0.0,25.0
BK0101,2022-08-20,32.3,21.9,0.2,22.1
BK0101,2022-08-21,28.3,20.8,0.1,21.7
BK0101,2022-08-22,24.8,22.1,12.4,19.3
BK0101,2022-08-23,28.8,21.0,5.1,14.9
BK0101,2022-08-24,31.2,20.2,0.0,14.0
BK0101,2022-08-25,31.8,19.9,0.0,19.8
BK0101,2022-08-26,29.2,21.4,5.0,21.6
BK0101,2022-08-27,30.2,20.6,0.0,12.2
BK0101,2022-08-28,27.5,21.6,1.5,18.6
BK0101,2022-08-29,28.9,22.0,0.2,25.5
BK0101,2022-08-30,29.9,22.0,1.5,30.1
BK0101,2022-08-31,29.3,21.1,1.1,25.3
BK0101,2022-09-01,30.6,19.3,0.0,23.2
BK0101,2022-09-02,25.9,15.6,0.0,16.1
BK0101,2022-09-03,27.0,17.9,0.0,18.4
BK0101,2022-09-04,30.5,21.1,2.0,15.8
BK0101,2022-09-05,29.1,21.8,6.1,18.7
BK0101,2022-09-06,23.0,20.2,32.0,20.5
BK0101,2022-09-07,22.9,19.0,1.7,21.9
BK0101,2022-09-08,24.1,17.6,0.0,18.1
BK0101,2022-09-09,26.3,16.0,0.0,12.0
BK0101,2022-09-10,27.4,16.2,0.0,14.5
BK0101,2022-09-11,24.9,19.0,11.7,14.0
BK0101,2022-09-12,28.1,21.0,8.9,13.4
BK0101,2022-09-13,26.1,20.4,9.6,19.6
BK0101,2022-09-14,27.0,16.1,0.0,20.5
BK0101,2022-09-15,22.0,15.6,0.0,18.2
BK0101,2022-09-16,24.0,12.2,0.0,13.0
BK0101,2022-09-17,22.9,16.8,0.0,17.7
BK0101,2022-09-18,29.2,17.6,0.0,22.3
BK0101,2022-09-19,29.9,19.0,3.7,21.7
BK0101,2022-09-20,26.2,18.0,0.0,19.7
BK0101,2022-09-21,25.9,16.0,0.0,19.6
BK0101,2022-09-22,25.7,14.4,4.9,26.6
BK0101,2022-09-23,16.6,10.1,0.0,32.6
BK0101,2022-09-24,20.7,9.2,0.0,19.8
BK0101,2022-09-25,23.2,11.7,4.2,21.8
BK0101,2022-09-26,23.8,13.4,0.0,27.2
BK0101,2022-09-27,21.6,13.8,0.0,22.7
BK0101,2022-09-28,21.1,10.4,0.0,20.1
BK0101,2022-09-29,19.4,11.4,0.0,21.3
BK0101,2022-09-30,17.1,10.8,0.0,17.1
BK0101,2022-10-01,17.5,11.6,26.0,33.7
BK0101,2022-10-02,15.2,10.6,13.7,34.0
BK0101,2022-10-03,12.0,9.4,17.8,29.8
BK0101,2022-10-04,13.4,8.6,148.4,33.6
BK0101,2022-10-05,15.9,12.6,28.1,29.0
BK0101,2022-10-06,22.5,11.1,0.0,12.2
BK0101,2022-10-07,24.3,12.1,0.0,17.4
BK0101,2022-10-08,14.9,8.2,0.4,20.0
BK0101,2022-10-09,16.6,6.2,0.0,20.4
BK0101,2022-10-10,20.0,7.3,0.0,20.0
BK0101,2022-10-11,19.6,7.6,0.0,13.7
BK0101,2022-10-12,19.1,9.2,0.0,24.9
BK0101,2022-10-13,21.1,13.6,4.4,27.4
BK0101,2022-10-14,19.2,10.8,5.9,26.4
BK0101,2022-10-15,19.1,8.4,0.0,24.4
BK0101,2022-10-16,17.5,10.1,0.0,12.3
BK0101,2022-10-17,18.8,11.6,8.1,19.3
BK0101,2022-10-18,13.6,7.4,0.7,16.3
BK0101,2022-10-19,12.3,4.7,0.0,27.4
BK0101,2022-10-20,14.4,5.7,0.0,27.7
BK0101,2022-10-21,16.1,6.3,0.0,12.8
BK0101,2022-10-22,17.9,7.1,0.0,11.0
BK0101,2022-10-23,15.1,9.9,15.3,21.3
BK0101,2022-10-24,17.0,12.4,8.2,21.9
BK0101,2022-10-25,21.5,14.9,6.8,13.0
BK0101,2022-10-26,21.8,16.1,0.3,16.1
BK0101,2022-10-27,17.5,10.1,0.0,25.1
BK0101,2022-10-28,12.8,6.4,0.0,18.7
BK0101,2022-10-29,14.1,4.6,0.0,13.3
BK0101,2022-10-30,16.2,4.6,0.0,11.5
BK0101,2022-10-31,17.0,11.2,5.7,13.1
BK0101,2022-11-01,19.6,13.9,6.8,16.1
BK0101,2022-11-02,20.1,10.9,0.0,16.0
BK0101,2022-11-03,17.9,8.4,0.0,11.3
BK0101,2022-11-04,19.9,8.9,0.0,14.4
BK0101,2022-11-05,22.0,14.9,0.0,27.5
BK0101,2022-11-06,23.4,17.7,0.8,22.4
BK0101,2022-11-07,23.9,13.9,0.9,24.7
BK0101,2022-11-08,13.1,7.4,0.0,22.0
BK0101,2022-11-09,10.6,3.8,0.0,18.6
BK0101,2022-11-10,16.9,6.4,0.0,13.5
BK0101,2022-11-11,19.1,11.4,15.2,38.5
BK0101,2022-11-12,20.4,14.4,2.7,37.5
BK0101,2022-11-13,14.0,5.8,3.2,30.7
BK0101,2022-11-14,7.6,2.1,0.0,20.8
BK0101,2022-11-15,8.1,1.1,6.8,24.9
BK0101,2022-11-16,11.2,4.4,12.9,27.9
BK0101,2022-11-17,8.1,2.3,0.0,35.5
BK0101,2022-11-18,6.7,0.6,0.4,32.0
BK0101,2022-11-19,4.2,-1.4,0.0,20.3
BK0101,2022-11-20,2.4,-2.0,0.1,35.1
BK0101,2022-11-21,4.2,-3.2,0.0,23.8
BK0101,2022-11-22,8.9,-0.2,0.0,21.9
BK0101,2022-11-23,11.4,0.9,0.0,13.8
BK0101,2022-11-24,10.8,0.3,0.0,14.0
BK0101,2022-11-25,11.8,4.7,2.0,27.4
