Ind1Name;Dim1Name;Dim1Value;Dim2Name;Dim2Value;Date;number_of_visits
Asthma;Borough;Staten Island;Age Group;All age groups;2023-06-01;119
Asthma;Borough;Staten Island;Age Group;All age groups;2023-07-01;77
Asthma;Borough;Staten Island;Age Group;All age groups;2023-08-01;153
Asthma;Borough;Staten Island;Age Group;All age groups;2023-09-01;361
Asthma;Borough;Staten Island;Age Group;All age groups;2023-10-01;443
Asthma;Borough;Staten Island;Age Group;All age groups;2024-03-01;455
Asthma;Borough;Staten Island;Age Group;All age groups;2024-04-01;426
Asthma;Borough;Staten Island;Age Group;All age groups;2024-05-01;502
Asthma;Borough;Staten Island;Age Group;All age groups;2024-06-01;430
Asthma;Borough;Staten Island;Age Group;All age groups;2024-07-01;444
Asthma;Borough;Staten Island;Age Group;All age groups;2024-08-01;409
Asthma;Borough;Staten Island;Age Group;All age groups;2024-09-01;432
Asthma;Borough;Staten Island;Age Group;All age groups;2024-10-01;448
Asthma;Borough;Staten Island;Age Group;All age groups;2025-03-01;419
Asthma;Borough;Staten Island;Age Group;All age groups;2025-04-01;464
Asthma;Borough;Staten Island;Age Group;All age groups;2025-05-01;488
Asthma;Borough;Staten Island;Age Group;All age groups;2025-06-01;375
Asthma;Borough;Staten Island;Age Group;All age groups;2025-07-01;404
Asthma;Borough;Staten Island;Age Group;All age groups;2025-08-01;378
Asthma;Borough;Staten Island;Age Group;All age groups;2025-09-01;455
Asthma;Borough;Staten Island;Age Group;All age groups;2025-10-01;426
Asthma;Borough;Unknown;Age Group;All age groups;2022-03-01;181
Asthma;Borough;Unknown;Age Group;All age groups;2022-04-01;192
Asthma;Borough;Unknown;Age Group;All age groups;2022-05-01;254
Asthma;Borough;Unknown;Age Group;All age groups;2022-06-01;173
Asthma;Borough;Unknown;Age Group;All age groups;2022-07-01;163
Asthma;Borough;Unknown;Age Group;All age groups;2022-08-01;206
Asthma;Borough;Unknown;Age Group;All age groups;2022-09-01;267
Asthma;Borough;Unknown;Age Group;All age groups;2022-10-01;257
Asthma;Borough;Unknown;Age Group;All age groups;2023-03-01;183
Asthma;Borough;Unknown;Age Group;All age groups;2023-04-01;256
Asthma;Borough;Unknown;Age Group;All age groups;2023-05-01;216
Asthma;Borough;Unknown;Age Group;All age groups;2023-06-01;223
Asthma;Borough;Unknown;Age Group;All age groups;2023-07-01;204
Asthma;Borough;Unknown;Age Group;All age groups;2023-08-01;180
Asthma;Borough;Unknown;Age Group;All age groups;2023-09-01;233
Asthma;Borough;Unknown;Age Group;All age groups;2023-10-01;242
Asthma;Borough;Unknown;Age Group;All age groups;2024-03-01;220
Asthma;Borough;Unknown;Age Group;All age groups;2024-04-01;174
Asthma;Borough;Unknown;Age Group;All age groups;2024-05-01;273
Asthma;Borough;Unknown;Age Group;All age groups;2024-06-01;165
Asthma;Borough;Unknown;Age Group;All age groups;2024-07-01;148
