unique_key,created_date,closed_date,complaint_type,descriptor,incident_zip,latitude,longitude,borough,community_board,bbl
45301406,2020-01-03T16:47:00.000,2020-01-07T15:30:00.000,Air Quality,"Air: Odor/Fumes, Restaurant (AD2)",10025,40.79889583036276,-73.9668471965259,MANHATTAN,07 MANHATTAN,1018750036
45299910,2020-01-03T18:42:00.000,2020-01-06T07:04:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11211,40.71272883085208,-73.93750628170037,BROOKLYN,01 BROOKLYN,3029230015
45307657,2020-01-04T07:31:00.000,2020-01-10T12:00:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10014,40.7276386258744,-74.00728083861094,MANHATTAN,02 MANHATTAN,1005980058
45307643,2020-01-04T07:34:00.000,2020-01-10T11:15:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10014,40.73931491249697,-74.0054164786563,MANHATTAN,02 MANHATTAN,1006270009
45310312,2020-01-04T08:27:00.000,2020-01-10T09:00:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11210,40.632820332634815,-73.94896603002354,BROOKLYN,14 BROOKLYN,3075560007
45307315,2020-01-04T09:04:00.000,2020-01-06T13:15:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10031,40.82732498552474,-73.94980691050269,MANHATTAN,09 MANHATTAN,1020930029
45311851,2020-01-04T09:16:00.000,2020-01-08T14:25:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10034,40.86770844402598,-73.92990176057373,MANHATTAN,12 MANHATTAN,1022460020
45309613,2020-01-04T09:31:00.000,2020-01-06T14:00:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10031,40.82473860535553,-73.95434705710322,MANHATTAN,09 MANHATTAN,
45308067,2020-01-04T10:42:00.000,2020-01-08T12:30:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10034,40.86758209572162,-73.92975004101304,MANHATTAN,12 MANHATTAN,1022460020
45312201,2020-01-04T11:52:00.000,2020-01-06T13:45:00.000,Air Quality,"Air: Odor, Nail Salon (AD8)",11412,40.69201920010886,-73.76513240215984,QUEENS,12 QUEENS,4124390007
45312576,2020-01-04T12:26:00.000,2020-01-10T14:00:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11211,40.7110442845262,-73.95028403322246,BROOKLYN,01 BROOKLYN,3027790044
45311049,2020-01-04T12:57:00.000,2020-01-10T07:00:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11364,40.73402123656611,-73.76320545949396,QUEENS,11 QUEENS,4077640023
45311110,2020-01-04T13:49:00.000,2020-01-07T11:30:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10025,40.79762885322842,-73.97087130736415,MANHATTAN,07 MANHATTAN,1018720001
45309614,2020-01-04T13:52:00.000,2020-01-06T14:00:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10023,40.776993135259616,-73.97988522541912,MANHATTAN,07 MANHATTAN,1011430024
45310316,2020-01-04T14:41:00.000,2020-01-06T11:30:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11222,40.72274392444878,-73.93652281581035,BROOKLYN,01 BROOKLYN,3028360012
45307784,2020-01-04T14:57:00.000,2020-01-06T13:30:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11205,40.69622181521288,-73.97269349243773,BROOKLYN,02 BROOKLYN,3020310055
45308069,2020-01-04T15:09:00.000,2020-01-06T12:45:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",11354,40.765165770532995,-73.81910012961872,QUEENS,07 QUEENS,4050160027
45312616,2020-01-04T17:01:00.000,2020-01-06T15:45:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10019,40.76340767912766,-73.98684557759395,MANHATTAN,04 MANHATTAN,1010410047
45308396,2020-01-04T19:42:00.000,2020-01-13T19:45:00.000,Air Quality,"Air: Odor/Fumes, Restaurant (AD2)",10011,40.73915309400713,-74.00112587424078,MANHATTAN,02 MANHATTAN,1006180008
45309309,2020-01-04T20:51:00.000,2020-01-10T20:30:00.000,Air Quality,"Air: Odor/Fumes, Restaurant (AD2)",10028,40.77735274401043,-73.95213372507322,MANHATTAN,08 MANHATTAN,1015310021
45318667,2020-01-05T10:57:00.000,2020-01-07T11:30:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10034,40.86770844402598,-73.92990176057373,MANHATTAN,12 MANHATTAN,1022460020
45317771,2020-01-05T11:19:00.000,2020-01-06T14:15:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",11225,40.66906109545815,-73.95934890437844,BROOKLYN,09 BROOKLYN,3011870064
45316542,2020-01-05T11:28:00.000,2020-01-06T16:00:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10003,40.73669085103913,-73.99311870885126,MANHATTAN,05 MANHATTAN,
45314352,2020-01-05T11:38:00.000,2020-01-08T14:20:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10031,40.82433199855387,-73.95337538768896,MANHATTAN,09 MANHATTAN,
45318108,2020-01-05T13:42:00.000,2020-01-06T15:45:00.000,Air Quality,"Air: Odor/Fumes, Restaurant (AD2)",11375,40.726560937201256,-73.851859989591,QUEENS,06 QUEENS,4021350006
45317928,2020-01-05T17:27:00.000,2020-01-08T12:30:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10034,40.86807098899707,-73.93030632203926,MANHATTAN,12 MANHATTAN,1022552000
45314374,2020-01-05T18:10:00.000,2020-01-06T07:04:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11204,40.62889170104817,-73.98348924076004,BROOKLYN,12 BROOKLYN,3054600010
45316137,2020-01-05T18:55:00.000,2020-01-06T07:04:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11104,40.74097651063098,-73.92179650110846,QUEENS,02 QUEENS,4001730016
45317595,2020-01-05T22:39:00.000,2020-01-06T07:04:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10011,40.74529310565693,-74.00052689996315,MANHATTAN,04 MANHATTAN,1007460008
45318515,2020-01-05T23:03:00.000,2020-01-06T07:04:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10035,40.80788207387368,-73.93976854681752,MANHATTAN,11 MANHATTAN,1017537501
45323524,2020-01-06T00:03:00.000,2020-01-06T07:04:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10016,40.74410373461368,-73.9856368190034,MANHATTAN,05 MANHATTAN,1008580014
45321342,2020-01-06T05:44:00.000,2020-01-08T15:45:00.000,Air Quality,"Air: Odor/Fumes, Restaurant (AD2)",10314,40.612034696062125,-74.13731846061239,STATEN ISLAND,01 STATEN ISLAND,5007350081
45321382,2020-01-06T06:44:00.000,2020-01-08T08:00:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10004,40.70361070174477,-74.01093174813509,MANHATTAN,01 MANHATTAN,1000077501
45323527,2020-01-06T06:47:00.000,2020-01-08T07:00:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11249,40.71398908634065,-73.96417680718174,BROOKLYN,01 BROOKLYN,3024160016
45324602,2020-01-06T07:44:00.000,2020-01-09T14:15:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11210,40.632820332634815,-73.94896603002354,BROOKLYN,14 BROOKLYN,3075560007
45320292,2020-01-06T07:54:00.000,2020-01-09T08:00:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11385,40.69776184238684,-73.89913450764097,QUEENS,05 QUEENS,4035780068
45326763,2020-01-06T09:55:00.000,2020-01-07T16:00:00.000,Air Quality,"Air: Dust, Construction/Demolition (AE4)",11361,40.76369598143664,-73.78186789585133,QUEENS,11 QUEENS,4062000025
45324605,2020-01-06T09:58:00.000,2020-01-14T07:52:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10019,40.76584475985479,-73.98481265637697,MANHATTAN,04 MANHATTAN,1010460018
45319083,2020-01-06T10:54:00.000,2020-01-14T13:15:00.000,Air Quality,"Air: Dust, Construction/Demolition (AE4)",10024,40.78648556883817,-73.97217258063515,MANHATTAN,07 MANHATTAN,
45321369,2020-01-06T11:38:00.000,2020-01-08T07:11:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11221,40.69052350187097,-73.94244559638267,BROOKLYN,03 BROOKLYN,
45326790,2020-01-06T12:04:00.000,2020-01-07T15:45:00.000,Air Quality,"Air: Dust, Construction/Demolition (AE4)",11226,40.646541251282144,-73.96253376019551,BROOKLYN,14 BROOKLYN,3051210007
45324600,2020-01-06T12:05:00.000,2020-01-07T12:30:00.000,Air Quality,"Air: Odor/Fumes, Dry Cleaners (AD1)",11101,40.74204369015408,-73.95056042589314,QUEENS,02 QUEENS,4000620034
45324568,2020-01-06T12:08:00.000,2020-01-07T15:45:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10031,40.82388691720712,-73.95230620215838,MANHATTAN,09 MANHATTAN,
45321298,2020-01-06T12:35:00.000,2020-01-08T14:17:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10031,40.823541532060325,-73.95340484672931,MANHATTAN,09 MANHATTAN,1020880019
45323492,2020-01-06T13:56:00.000,2020-01-07T13:45:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10031,40.823541532060325,-73.95340484672931,MANHATTAN,09 MANHATTAN,1020880019
45321287,2020-01-06T14:26:00.000,2020-01-07T14:00:00.000,Air Quality,"Air: Smoke, Vehicular (AA4)",10025,40.79302371195403,-73.97298243331286,MANHATTAN,07 MANHATTAN,1012410011
45322417,2020-01-06T14:29:00.000,2020-01-08T16:59:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11417,40.67114930345605,-73.83747695654147,QUEENS,10 QUEENS,4115520051
45320296,2020-01-06T14:36:00.000,2020-01-14T13:30:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11357,40.78085847961429,-73.79979005363549,QUEENS,07 QUEENS,4057470018
45323494,2020-01-06T16:13:00.000,2020-01-08T14:17:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10031,40.823541532060325,-73.95340484672931,MANHATTAN,09 MANHATTAN,1020880019
45325651,2020-01-06T17:05:00.000,2020-01-07T12:45:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10031,40.82285274357415,-73.95374134832547,MANHATTAN,09 MANHATTAN,1020870041
45323521,2020-01-06T17:29:00.000,2020-01-07T16:15:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10019,40.765551448628614,-73.98800035469847,MANHATTAN,04 MANHATTAN,1010630029
45325674,2020-01-06T17:59:00.000,2020-01-08T17:45:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10023,40.78102539234052,-73.98131028936288,MANHATTAN,07 MANHATTAN,
45333230,2020-01-07T04:34:00.000,2020-01-10T12:15:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10002,,,MANHATTAN,Unspecified MANHATTAN,
45330321,2020-01-07T05:07:00.000,2020-01-08T12:30:00.000,Air Quality,"Air: Dust, Construction/Demolition (AE4)",11229,40.61140861969809,-73.94394726877893,BROOKLYN,15 BROOKLYN,3067920015
45332179,2020-01-07T08:57:00.000,2020-01-07T10:00:00.000,Air Quality,"Air: Odor/Fumes, Restaurant (AD2)",10314,40.612034696062125,-74.13731846061239,STATEN ISLAND,01 STATEN ISLAND,5007350081
45331084,2020-01-07T09:00:00.000,2020-01-10T10:30:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11205,40.690826382123916,-73.9653972470067,BROOKLYN,02 BROOKLYN,
45327925,2020-01-07T10:22:00.000,2020-01-09T07:00:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11375,40.7254275502662,-73.84780369648455,QUEENS,06 QUEENS,4021380029
45335368,2020-01-07T11:02:00.000,2020-01-07T15:45:00.000,Air Quality,"Air: Dust, Construction/Demolition (AE4)",11206,40.70055396499139,-73.93421415603811,BROOKLYN,04 BROOKLYN,3031520001
45329726,2020-01-07T11:55:00.000,2020-01-10T12:15:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10023,40.7826999838873,-73.98328499879275,MANHATTAN,07 MANHATTAN,1011850061
45327939,2020-01-07T14:30:00.000,2020-01-10T12:30:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10023,40.77912382681563,-73.984975721616,MANHATTAN,07 MANHATTAN,
45329732,2020-01-07T14:30:00.000,2020-01-08T15:45:00.000,Air Quality,"Air: Odor/Fumes, Restaurant (AD2)",11375,40.726560937201256,-73.851859989591,QUEENS,06 QUEENS,4021350006
45332167,2020-01-07T16:06:00.000,2020-01-08T14:00:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11385,40.70259694012861,-73.89779275192846,QUEENS,05 QUEENS,4035160022
45330044,2020-01-07T16:12:00.000,2020-01-09T15:45:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10024,40.787020080983496,-73.96937009255251,MANHATTAN,07 MANHATTAN,1012020021
45329741,2020-01-07T16:49:00.000,2020-01-09T14:30:00.000,Air Quality,"Air: Odor/Fumes, Restaurant (AD2)",10025,40.79889583036276,-73.9668471965259,MANHATTAN,07 MANHATTAN,1018750036
45335825,2020-01-07T17:31:00.000,2020-01-08T13:30:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10019,40.765551448628614,-73.98800035469847,MANHATTAN,04 MANHATTAN,1010630029
45335787,2020-01-07T18:32:00.000,2020-01-08T07:11:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11201,40.69208591370001,-73.99736399649753,BROOKLYN,02 BROOKLYN,3002610001
45327971,2020-01-07T18:46:00.000,2020-01-09T11:15:00.000,Air Quality,"Air: Odor/Fumes, Restaurant (AD2)",10009,40.72741279368365,-73.9848827499931,MANHATTAN,03 MANHATTAN,1004350012
45343610,2020-01-08T01:35:00.000,2020-01-10T22:00:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10011,40.74642931599236,-74.00519330122299,MANHATTAN,04 MANHATTAN,1006927502
45342575,2020-01-08T06:34:00.000,2020-01-10T06:45:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11210,40.636469015122074,-73.94488101890336,BROOKLYN,17 BROOKLYN,3049970005
45341560,2020-01-08T07:47:00.000,2020-01-10T12:00:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11238,40.68379042695919,-73.96189267288558,BROOKLYN,02 BROOKLYN,
